"OTUvec1"	"OTUvec2"	"tau"	"p_value"
"60"	"Otu00005"	"Otu00012"	-0.0427966371210234	0.70467683467226
"61"	"Otu00006"	"Otu00012"	0.490000192864114	9.31953500260541e-06
"62"	"Otu00007"	"Otu00012"	0.370384348223118	0.000685131942351758
"63"	"Otu00008"	"Otu00012"	0.312733069621481	0.00516461794181899
"64"	"Otu00009"	"Otu00012"	0.449050979167391	5.07917501277877e-05
"65"	"Otu00010"	"Otu00012"	-0.0535153912725856	0.653336399445575
"66"	"Otu00011"	"Otu00012"	-0.149969291052792	0.212193059256243
"67"	"Otu00001"	"Otu00013"	-0.204462491469827	0.0907654469358851
"68"	"Otu00002"	"Otu00013"	-0.141379022503553	0.240051175379614
"69"	"Otu00003"	"Otu00013"	0.503847117610509	4.98122669467804e-06
"70"	"Otu00004"	"Otu00013"	0.409514179673961	0.000288942652996838
"71"	"Otu00005"	"Otu00013"	-0.139106807920371	0.232307931314418
"72"	"Otu00006"	"Otu00013"	0.448633851702138	8.32391293263957e-05
"73"	"Otu00007"	"Otu00013"	0.284769998724037	0.0113613833087285
"74"	"Otu00008"	"Otu00013"	0.221090123387827	0.0552478838499071
"75"	"Otu00009"	"Otu00013"	0.56255178264565	8.57445047630634e-07
"76"	"Otu00010"	"Otu00013"	-0.0989486342540349	0.420813804552122
"77"	"Otu00011"	"Otu00013"	-0.132342719846038	0.285883981730469
"78"	"Otu00012"	"Otu00013"	0.396219868493156	0.000385735054009961
"79"	"Otu00001"	"Otu00014"	-0.204870137041241	0.100958063238579
"80"	"Otu00002"	"Otu00014"	0.0625725711961028	0.614783588643826
"81"	"Otu00003"	"Otu00014"	0.236766658960448	0.0377980278934196
"82"	"Otu00004"	"Otu00014"	0.0025107644393914	0.982834928546578
"83"	"Otu00005"	"Otu00014"	0.407272921096888	0.000711991473564932
"84"	"Otu00006"	"Otu00014"	-0.0662903647328228	0.57355860437541
"85"	"Otu00007"	"Otu00014"	0.469421042396274	5.35723120174136e-05
"86"	"Otu00008"	"Otu00014"	-0.0271104272943498	0.820013688734075
"87"	"Otu00009"	"Otu00014"	0.109474436776373	0.353847849909202
